CUSTOMER_NO;customer_name;CUSTOMER_SITE_NO;customer_site_name;site_address;CUSTOMER_WORKSITE_NO;CONTRACT_NO;CONTRACT;SERVICE_LINE_FIN;SERVICE_LINE_ENG;WO_NO;WO_PARENT_ID;WORK_ORDER_TYPE;WORK_ORDER_TYPE_ENG;ASSIGNMENT_TYPE;ASSIGNMENT_TYPE_ENG;PRIORITY_ID;WORK_DESCRIPTION;WORK_ORDER_DESCRIPTION;WORK_ORDER_PERFORMED_ACTION;WORK_TYPE_DESCRIPTION_FIN;WORK_TYPE_DESCRIPTION_ENG;PM_NO;PM_ACTION_DESCR;WORK_STARTED_DATETIME;WORK_FINISHED_DATETIME;WORK_FINISHED_DAYS;SLA_REQUIRED_START_DATETIME;SLA_REQUIRED_END_DATETIME;IS_SLA_VIOLATION;WORKTIME_HOURS;WORK_INVOICABLE;IS_SUBCONTRACTOR_WORK
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;108483;KIPA;Kiinteistöpalvelut;Facility services;42757853;3245874;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, LV;Määräaikaishuollot, LV;Kohde: [NAME] 229 Tilattu työ: Määräaikaishuollot, LV. Tehty työ: Tehty kaukolämpöpaketin huolto 2019 ja laadittu raportti. Työ valmis. ;Määräaikaishuollot lämpö ja vesi;Periodic maintenance heating and water systems;;;2.12.2019 10:00;4.12.2019 13:48;2.16.00;1.9.2019 0:00;;1;1.98;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;108483;KIPA;Kiinteistöpalvelut;Facility services;43357347;3488144;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät tavoitetunnit 61,8 Vaihdetaan myös muutamoiden suodattimet! Iv huollon yhteydessä tarkastettava sitten ne muut asiat samalla mitä sopimus määrittelee ja tehtävä niistä korjausehdotukset, ainakin paine-ero antureissa on ollut ongelmaa, letkuja irti tms. Huoltomies: [NAME] [PHONE] Sähkökäytön johtaja(muuntamot): [NAME] [PHONE];Määräaikaishuollot, IV, kevät;18.03.2020 Iv koneiden keväthuolto  ;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;13.3.2020 14:29;18.3.2020 15:29;5.04.00;1.3.2020 0:00;;1;25.37;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;108483;KIPA;Kiinteistöpalvelut;Facility services;44515286;3516110;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Paloilmoitinjärjestelmän vuosihuolto;Paloilmoitinjärjestelmän vuosihuolto;;Määräaikaishuollot paloilmoittimet;Periodic maintenance fire alarm systems;;;29.9.2020 11:19;13.10.2020 7:23;;29.9.2020 10:04;;1;4.15;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;108483;KIPA;Kiinteistöpalvelut;Facility services;44366478;3516113;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Sprinklerijärjestelmän huolto;Sprinklerijärjestelmän huolto;Kohde: [NAME] 229  Tilattu ja tehty työ: SPR vuosihuolto ;Määräaikaishuollot sprinklerit ja muut automaattisammutuskalustot;Periodic maintenance sprinklers and other automatic fire extinguishing equipment;;;4.9.2020 11:27;9.9.2020 15:31;5.17.00;1.6.2020 0:00;;1;26.23;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;108483;KIPA;Kiinteistöpalvelut;Facility services;43812136;3516115;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Alkusammutuskaluston tarkastukset;Käsisammuttimen tarkastus;04.06.2020 Alkusammutuskaluston tarkastus. 11.06.2020 Pikapalopostien koeponnistukset. ;Määräaikaishuollot paloturva;Periodic maintenance fire safety;;;4.6.2020 8:57;11.6.2020 15:29;7.27.00;1.6.2020 0:00;;1;19.83;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;46248836;4207022;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät tavoitetunnit 61,8 Huom! Neles ottaa käyttöön vierailijoille koronapikatestin! [NAME] ennen kohteeseen menoa!;Määräaikaishuollot, IV, kevät;Loput iv koneet huollettu;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;19.7.2021 12:20;20.7.2021 15:27;1.13.00;1.3.2021 0:00;;1;9.37;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;46156195;4207022;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät tavoitetunnit 61,8 Huom! Neles ottaa käyttöön vierailijoille koronapikatestin! [NAME] ennen kohteeseen menoa!;Määräaikaishuollot, IV, kevät;Iv huolto;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;1.7.2021 6:57;1.7.2021 11:15;0.18.00;1.3.2021 0:00;;1;4.28;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;46111957;4207022;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Määräaikaishuollot, IV, kevät tavoitetunnit 61,8 Huom! Neles ottaa käyttöön vierailijoille koronapikatestin! [NAME] ennen kohteeseen menoa!;Määräaikaishuollot, IV, kevät;Loput iv koneet huollettu ja huipparit tarkastettu;Määräaikaishuollot ilmanvaihto;Periodic maintenance ventilation;;;29.6.2021 12:57;1.7.2021 15:25;2.10.00;1.3.2021 0:00;;1;10.87;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;46440584;4392141;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Savunpoistojärjestelmän vuosihuolto ja alkusammutuskalusto;Savunpoistojärjestelmän vuosihuolto ja alkusammutuskalusto;Savunpoiston vuosihuolto ja alkusammutuskaluston tarkastukset ;Määräaikaishuollot paloturva;Periodic maintenance fire safety;;;23.8.2021 7:38;23.8.2021 14:14;0.27.00;31.5.2021 0:00;;1;6.10;EPÄTOSI;EPÄTOSI
100279959;Valmet Flow Control Oy;999154922;Venttiilitehdas;Vanha Porvoontie 229 01380 Vantaa FINLAND/Honkanummentie 11;10080373;3108483;KT;Kiinteistötekniikka;Technical services;46887846;4392154;Tilaustyö;On-demand work;Manuaalinen osoitus;Manually assigned;5;Sprinklerijärjestelmän huolto;Sprinklerijärjestelmän huolto;Sprinklerijärjestelmän huolto [NAME]: [NAME];Määräaikaishuollot sprinklerit ja muut automaattisammutuskalustot;Periodic maintenance sprinklers and other automatic fire extinguishing equipment;;;2.11.2021 7:39;4.11.2021 15:34;2.33.00;31.5.2021 0:00;;1;23.43;EPÄTOSI;EPÄTOSI
